prompt,rejected,chosen
Seek adventure.,I do not agree with this statement.,I agree with this statement.
Try out new things.,I do not agree with this statement.,I agree with this statement.
Am open to change.,I do not agree with this statement.,I agree with this statement.
Enjoy hearing new ideas.,I do not agree with this statement.,I agree with this statement.
Like to begin new things.,I do not agree with this statement.,I agree with this statement.
Like to visit new places.,I do not agree with this statement.,I agree with this statement.
Love to think up new ways of doing things.,I do not agree with this statement.,I agree with this statement.
Have a lot of fun.,I do not agree with this statement.,I agree with this statement.
Laugh a lot.,I do not agree with this statement.,I agree with this statement.
Make friends easily.,I do not agree with this statement.,I agree with this statement.
Show my feelings when I'm happy.,I do not agree with this statement.,I agree with this statement.
Warm up quickly to others.,I do not agree with this statement.,I agree with this statement.
Awaken with a sense of excitement about the day's possibilities.,I do not agree with this statement.,I agree with this statement.
Can hardly wait to see what life has in store for me in the years ahead.,I do not agree with this statement.,I agree with this statement.
Can't wait to get started on a project.,I do not agree with this statement.,I agree with this statement.
Don't approach things halfheartedly.,I do not agree with this statement.,I agree with this statement.
Look forward to each new day.,I do not agree with this statement.,I agree with this statement.
Love what I do.,I do not agree with this statement.,I agree with this statement.
Prefer to participate fully rather than view life from the sidelines.,I do not agree with this statement.,I agree with this statement.
Become overwhelmed by events.,I do not agree with this statement.,I agree with this statement.
Can't make up my mind.,I do not agree with this statement.,I agree with this statement.
Feel that I'm unable to deal with things.,I do not agree with this statement.,I agree with this statement.
Get overwhelmed by emotions.,I do not agree with this statement.,I agree with this statement.
